covariate,smd_before,smd_after,survey_round
birth_order,-0.22507948861197888,0.009267431525697561,NFHS-4
wealth_index,0.8036112598346421,-0.0233323270232001,NFHS-4
education_years,0.5916463327853804,-0.0342443285334546,NFHS-4
residence_1,0.4239633591145468,-0.010332703627510766,NFHS-4
residence_2,-0.4239633591145467,0.010332703627510405,NFHS-4
religion_1,-0.014468738111176372,0.0004961852919091984,NFHS-4
religion_2,0.05937260882743938,-0.0028747383007088397,NFHS-4
religion_3,-0.08647239526817008,0.00023394843080328334,NFHS-4
religion_4,0.08300065371525887,-0.0046671211943053025,NFHS-4
religion_5,-0.04976409496795286,0.009208366249003756,NFHS-4
religion_6,0.05388290184930606,0.004270304154629875,NFHS-4
religion_7,-0.00532574540937445,-0.005754918781899921,NFHS-4
religion_8,-0.006522702502396023,-0.01126400154793579,NFHS-4
religion_9,-0.0042306367406405206,-0.0019630679187086155,NFHS-4
religion_96,-0.05069267686642309,0.006025722393832236,NFHS-4
twin_order_0,-0.08328439838867831,0.0008777667783155534,NFHS-4
twin_order_1,0.05813823893629586,-0.0005876486891911669,NFHS-4
twin_order_2,0.057815551305563144,-0.000991877526568951,NFHS-4
twin_order_3,0.013611826176182413,0.003536359500651704,NFHS-4
birth_order,-0.23652857328973959,0.00956458682274326,NFHS-5
wealth_index,0.8140691434109542,-0.01732437956608895,NFHS-5
education_years,0.6009725360324638,-0.0454425447380267,NFHS-5
residence_1,0.3867440634055738,-0.005692912076132459,NFHS-5
residence_2,-0.38674406340557366,0.005692912076132707,NFHS-5
religion_1,0.04523081960016181,0.010758765674306328,NFHS-5
religion_2,0.01642540330914946,-0.004590832328542584,NFHS-5
religion_3,-0.11742741159021586,-0.01171817534055444,NFHS-5
religion_4,0.0992929262109764,1.6585864546942423e-06,NFHS-5
religion_5,-0.08005856888328941,-0.0020031911559479656,NFHS-5
religion_6,0.05063843255677314,0.0035687498402609073,NFHS-5
religion_7,-0.0036478619717166933,-0.005578477351346978,NFHS-5
religion_8,-0.006349369737021203,-0.009954217063338211,NFHS-5
religion_9,-0.015554657499257685,-0.01092487813056731,NFHS-5
religion_96,-0.08803677390062306,-0.01648706673238427,NFHS-5
twin_order_0,-0.10266271645995821,0.0002793925694436046,NFHS-5
twin_order_1,0.07146200671647493,-0.0012553948994141648,NFHS-5
twin_order_2,0.07146200671647493,9.59901856296389e-05,NFHS-5
twin_order_3,0.01602994406639347,0.00806312063782665,NFHS-5
