survey_round,facility_type,n,raw_csection_prevalence_pct,weighted_csection_prevalence_pct
NFHS-4,public,141028,10.753183764926113,11.917445505811788
NFHS-4,private,54338,37.73786300563142,40.854108415452416
NFHS-5,public,150299,13.951523296894855,14.312706148183663
NFHS-5,private,50495,47.07990890187147,47.36563242212623
