sensitivity,n,adjusted_private_risk_pct,adjusted_public_risk_pct,risk_difference_pct,risk_difference_ci_low_pct,risk_difference_ci_high_pct,risk_ratio,risk_ratio_ci_low,risk_ratio_ci_high,n_dropped_by_trimming,rd_delta_vs_primary_pct,rr_delta_vs_primary
0_primary_AIPW_notebook07_REFERENCE,200794.0,44.96440011873391,16.494601667419733,28.469798451314183,27.67195727729868,29.24425924304067,2.7260070309880806,2.656603904179091,2.803452731943965,,0.0,0.0
1_propensity_trimming,183293.0,45.51527091054021,16.953995213503006,28.561275697037203,27.7758932795846,29.290943717150807,2.6846339365655583,2.616037300995836,2.757311553756474,17501.0,0.0914772457230199,-0.0413730944225223
2a_ipw_only,200794.0,44.30488382061436,16.323062985390973,27.981820835223388,27.0852532273776,28.825381717600656,2.7142506195232428,2.633704172161921,2.796270368044828,,-0.4879776160907951,-0.0117564114648378
2b_outcome_regression_only,200794.0,43.91515812653572,16.408726613046326,27.50643151348939,27.42022162686275,27.60811244774524,2.676329441165742,2.664059756383663,2.6887772369612035,,-0.9633669378247944,-0.0496775898223385
3_one_birth_per_woman,158092.0,46.18289074027866,17.432532321046367,28.75035841923229,27.96014391842634,29.586816130212483,2.6492359164894173,2.578605342586361,2.72504190211164,,0.2805599679181085,-0.0767711144986633
4_refined_lower_risk,34814.0,51.13559335152296,19.80975017181269,31.325843179710265,29.902879662846026,32.731888190105565,2.58133459069483,2.473059322697339,2.7111017685817096,,2.856044728396082,-0.1446724402932506
4_refined_elevated_risk,24394.0,57.99943712619435,26.94788018357784,31.051556942616514,29.048395411734724,33.36646528976858,2.152281987714176,2.0544473649168142,2.270002638039979,,2.581758491302331,-0.5737250432739049
5_e_value_point_estimate,,,,,,,,,,,,
5_e_value_ci_bound_closest_to_null,,,,,,,,,,,,
