risk_stratum,n,n_public,n_private,adjusted_private_risk_pct,adjusted_public_risk_pct,risk_difference_pct,risk_difference_ci_low_pct,risk_difference_ci_high_pct,risk_ratio,risk_ratio_ci_low,risk_ratio_ci_high
lower_risk,79531.0,56781.0,22750.0,49.38545081862615,19.461935311248585,29.92351550737756,28.85777667229062,30.963521781472856,2.5375405903277466,2.452220162247253,2.615615136749516
elevated_risk,2895.0,1658.0,1237.0,70.60776672279479,42.37550869996035,28.232258022834444,22.017371708170185,35.792196092314526,1.6662399789164268,1.4656317653844482,1.963220685633523
lower_risk_minus_elevated_risk (RD difference),,,,,,1.6912574845431183,-5.96361759325467,7.739335087274855,,,
