label,n,mean_delta_pct,median_delta_pct,p05_delta_pct,p25_delta_pct,p75_delta_pct,p95_delta_pct,mean_p_private_observed_pct,mean_p_public_set_pct,mean_delta_ci_low_pct,mean_delta_ci_high_pct,mean_p_private_ci_low_pct,mean_p_private_ci_high_pct,mean_p_public_set_ci_low_pct,mean_p_public_set_ci_high_pct
overall_all_private_unrestricted,10202,26.953227966625416,26.758191979494093,9.018516550367629,17.868120230271707,35.984880118507085,45.699126911171945,73.5285237485746,46.57529577258164,,,,,,
overall_common_support_PRIMARY,10122,27.05365196535428,26.796582009744142,9.173155190915276,17.959261072041993,36.03958331661679,45.7180792475964,73.41066376284189,46.35701178804873,26.801082516417814,27.25403167723057,73.07950810148903,73.73062893697096,45.889895281890745,46.8082402922451
lower_risk_common_support_PRIMARY,4604,26.87429950840133,26.734583504765524,9.093733081868852,17.823570124355616,36.06461563637113,45.21175608822711,76.15463350777082,49.28033399255313,26.59349121806805,27.167093981391155,75.92118959069568,76.37201129870279,48.78445869582861,49.74257153661959
elevated_risk_common_support_PRIMARY,162,15.232785201756712,13.410276884769242,6.2600108555425695,8.99888018302948,18.21313735653463,37.3594310976236,88.23168696123093,72.99890176856879,14.769655113293751,15.7154443176923,87.83516801563557,88.64438643570949,72.31280300797053,73.67066686564897
