covariate,smd_before,smd_after,flag_after_weighting
wealth_index,0.7557409744013983,-6.087651764246233e-06,False
education_years,0.5526617444219831,-0.016379204817132266,False
social_group_2,-0.37280754722577175,-0.03526790527770218,False
residence_1,0.36713855964201003,0.009617814360167188,False
residence_2,-0.3671385596420097,-0.009617814360167067,False
age_at_first_birth,0.3309157280835238,-0.005094051799322073,False
state_24,0.26448405655415375,-0.004329490618035052,False
state_23,-0.2442844382267522,-0.04687317888440208,False
social_group_4,0.24056687655881032,-0.004207100337875693,False
social_group_3,0.21550483465787248,0.006197662143607651,False
state_1,-0.2147853810378668,-0.0013296843357884485,False
state_36,0.19634248913167793,0.005967268387983275,False
state_12,-0.1956190235077706,-0.01340274879614184,False
state_18,-0.19087485496232603,-0.03965518368184947,False
state_32,0.1855356435473161,0.000345510241758207,False
social_group_1,-0.13824079361819336,0.020988367158558455,False
state_21,-0.13502829222489124,-0.01869704779687422,False
state_6,0.12744916272099158,0.005216590389997183,False
state_3,0.12456698450096047,0.0056538544030232,False
state_28,0.12449309045413615,0.0031831882453834154,False
state_8,-0.1235814609162833,0.038235407497303975,False
religion_3,-0.12263356749411232,-0.0022946994752368905,False
state_27,0.11694784494179787,0.01295709677915708,False
state_17,-0.1017615589035505,-0.0020889834364392675,False
state_22,-0.10052820046897094,-0.005976732238867964,False
religion_4,0.09724976912207473,0.004893949293071733,False
state_16,-0.09388520345720668,-0.004244875726482829,False
social_group_Missing,-0.09240685203142754,-0.0014371466022671526,False
state_15,-0.09141284200119686,-0.009140721438447666,False
twin_order_1,0.0902132097094924,-0.00605835161720783,False
twin_order_0,-0.09021320970949233,0.006058351617208625,False
religion_96,-0.08895676378325561,-0.006749347687164138,False
state_9,0.0863115543493471,0.02369820563727403,False
religion_5,-0.08232387222329782,-0.00257746722224626,False
state_37,-0.08200194850087676,-0.017141286251219096,False
religion_1,0.07684159881061808,-0.0013646662647729753,False
state_29,0.06232890958526645,0.0001411343072746569,False
state_2,-0.06023454504794058,-0.008343562742147323,False
state_13,-0.05786584036733253,-0.002723430423064482,False
state_35,-0.05317718871570762,-0.01381090843669549,False
state_33,0.05146189818267939,-0.01960245068387732,False
state_19,-0.047406834651118904,-0.007875068340544631,False
state_11,-0.046978142733436076,0.0006453406790713199,False
religion_6,0.04498257536810544,0.005992475223454214,False
state_30,0.03886037216223455,0.0023289347087570374,False
state_7,0.038545667813228005,0.00771209118832662,False
state_34,0.03525096251210997,0.0008454922016286418,False
state_20,-0.03357987632701749,-0.002134659433781917,False
state_10,0.030695858241925753,0.009635535425811467,False
religion_9,-0.02520561044933234,-0.017246520817689744,False
state_4,-0.023105051011464258,-0.015903245232100856,False
state_25,0.019576084505686982,0.0054651873798092655,False
religion_2,-0.01684944750869772,0.002236080308528675,False
state_5,-0.011896752714632357,0.014957509094262475,False
state_14,-0.006537944311798087,0.003717565884585851,False
religion_7,-0.005850154365672223,-0.007892628195597402,False
religion_8,-0.005850154365672223,-0.005874696814416574,False
state_31,0.004949870072315448,-0.0023268482330155572,False
