replicate,risk_difference_pct,risk_ratio
0,28.95034399905181,2.406248320351276
1,27.587552745839595,2.34387091749598
2,28.931699062011397,2.3868537903767555
3,28.570534035995255,2.363883341468015
4,28.71291287780135,2.3949878495419594
5,29.684258737360768,2.4541446660671435
6,28.971771112972316,2.384688735660622
7,28.633563373661314,2.356815683241886
8,28.071755303618623,2.349283454709254
9,29.520947544990804,2.439680009166206
10,28.863905041587945,2.3965663322053103
11,28.97532927655866,2.4092384325859038
12,28.853964976826376,2.4349472782401196
13,28.939323407620993,2.4100027420592016
14,29.490772162447797,2.4416645259568326
15,29.342787814160648,2.4299038608896986
16,28.245135217158186,2.354421905523347
17,28.446911732554582,2.3681578575702935
18,29.68792964989415,2.434658281948294
19,28.825528420140827,2.4194747643769934
20,29.112401241067115,2.4390489863058464
21,29.5019836313134,2.472481539572417
22,28.41994703916184,2.3843850371105413
23,28.844691786794936,2.385074191329782
24,29.655793440587384,2.4515629323042916
25,29.337400920411085,2.4279866378583828
26,29.99495940673111,2.4710216459379337
27,28.432742815337196,2.389068884052289
28,29.1800112119858,2.450445594772397
29,29.331004582022786,2.4514582023681384
30,29.61403829206907,2.4469433875459536
31,28.98091143667601,2.4072866976627996
32,29.606381841833496,2.462616932065104
33,28.558712191138035,2.380291576204333
34,29.021291344575108,2.423022635814915
35,29.232056377454008,2.429918763190172
36,28.81716204756407,2.4195036971111272
37,28.85525744943281,2.367103299673813
38,28.676442870895645,2.395509472703505
39,29.00974796238819,2.4103750938046695
40,29.300247957290793,2.406414533330001
41,28.271226672440964,2.347972372063989
42,28.84773567159298,2.393170035732777
43,28.739261522701113,2.3891984406206586
44,29.212118528982323,2.431055738495851
45,28.798304047367505,2.393728419797228
46,28.955166060350656,2.426270844591274
47,30.059866578028583,2.471036724466002
48,28.56760581358123,2.4173419872186344
49,29.372654125923503,2.4536057056449363
50,28.74054894334219,2.414374648015709
51,28.397274452867215,2.355531527744312
52,28.99208716038681,2.4398134149475
53,28.892378036465296,2.4096255300196905
54,29.051618868503393,2.4317842357610595
55,29.287039843945095,2.417923786993848
56,29.757740148084434,2.482497170144435
57,29.420616242024177,2.458080430953537
58,28.882821446396434,2.4005495784778517
59,29.619509037568253,2.4623491240696596
60,28.585075057363852,2.3843581898165866
61,28.89733288016455,2.3888155340092805
62,28.931742277865435,2.418281844049809
63,29.067271755975067,2.4142387879132667
64,28.92731177074344,2.4015045070214462
65,28.96454724371254,2.405417093800246
66,30.08877811010125,2.461803172468381
67,29.68767114808406,2.4995649335608214
68,29.045165314182587,2.428070747385094
69,29.15599158146697,2.425689451608033
70,28.59867527163469,2.4132059919821796
71,28.399855240913862,2.3601119611341814
72,28.85171746719014,2.401218121030961
73,29.052595466149654,2.468107108377443
74,29.42458737136821,2.4360447971143047
75,29.610955340929845,2.4758113200345537
76,29.46508648681565,2.4235860082966694
77,29.2533058389724,2.4127644422874908
78,28.937801865116935,2.379560316489669
79,28.13295836760058,2.365044042102651
80,28.667086286720924,2.4041914917217215
81,28.770354883516102,2.401477130940502
82,28.78594133746316,2.4123101768055464
83,28.68392682460953,2.3602039562382218
84,29.557851720071298,2.4541421323276764
85,28.43817067862946,2.3824178364698936
86,28.61156020746225,2.3872211210351324
87,28.59087414969299,2.369096945791303
88,29.292203347284477,2.4289672632497328
89,28.0806590718638,2.376492788199948
90,29.4556665793131,2.4241194927889462
91,28.54350418044655,2.3705312783161885
92,29.061717407132036,2.4134086215575117
93,29.732676027013927,2.4717006003051236
94,27.87872416089422,2.3472743630036716
95,30.08418682614431,2.4772725737698034
96,28.902053176221298,2.4101517628236193
97,28.759928345507745,2.383058177659857
98,29.222088767330124,2.4449568973624287
99,29.333954474162795,2.44324442881814
100,28.7605517314176,2.3949528871950863
101,28.259193267942585,2.364101460807205
102,28.689804174718358,2.3873257496532125
103,28.567444990437806,2.361980487248849
104,29.743873663819453,2.4352803811024164
105,29.63676895045724,2.451586552855463
106,28.764068120026288,2.382337377378229
107,29.330297171248816,2.431944329346755
108,29.32438983343848,2.3944474579629658
109,28.211453500219974,2.37960827690593
110,28.917510002040814,2.4094910147196877
111,29.78168438000236,2.4726891801271753
112,28.64048260613643,2.3998177013641016
113,29.87443151821957,2.4954736721722948
114,27.993036353001123,2.342655298442837
115,28.308332938428855,2.368449549317802
116,28.07087296861088,2.366922868040642
117,29.079202340267006,2.4200186225011584
118,29.611925337049705,2.455853729798551
119,29.409651422200888,2.4381129394512357
120,28.826006828362456,2.4083932927581837
121,29.070053096226502,2.4718092346857894
122,29.04288620280185,2.396181798487047
123,29.07756776067027,2.431363590908634
124,28.36539044803962,2.3638117128968865
125,29.011620793693172,2.3841317847512635
126,29.377798214859585,2.4397438852530864
127,29.35154962026646,2.4531555986312887
128,28.254646831891794,2.3527178293480837
129,28.420743434005445,2.366134035045636
130,29.66778113441883,2.440964417650202
131,28.351775630707866,2.3603059922889966
132,27.967994076291376,2.3569067355591384
133,29.323149722040526,2.4630703289203804
134,28.679771035754513,2.3799581075262735
