model,n_test,test_prevalence,pr_auc,roc_auc,precision,recall,f1_score,specificity,accuracy,brier_score_raw
Logistic Regression,40263,0.2223,0.5108,0.7943,0.4444,0.7073,0.5459,0.7473,0.7384,0.1861
XGBoost,40263,0.2223,0.5334,0.8037,0.4317,0.7456,0.5468,0.7195,0.7253,0.1825
