stratum,group,n,propensity_min,propensity_max,propensity_mean,n_extreme,pct_extreme
lower_risk,overall,79531,0.005906695934262352,0.9061443040242718,0.2949338932866088,4206,5.29
lower_risk,private,22750,0.007345986824263836,0.9061443040242718,0.4318222109504648,110,0.48
lower_risk,public,56781,0.005906695934262352,0.8789183467236996,0.24008791968887847,4096,7.21
elevated_risk,overall,2895,0.008845441068109701,0.9653518765701335,0.4517948987185163,73,2.52
elevated_risk,private,1237,0.04436832427495688,0.9653518765701335,0.5945242070796545,5,0.4
elevated_risk,public,1658,0.008845441068109701,0.9251114063361172,0.34530747143098456,68,4.1
