label,n,mean_delta_pct,median_delta_pct,p05_delta_pct,p25_delta_pct,p75_delta_pct,p95_delta_pct,mean_p_private_observed_pct,mean_p_public_set_pct,mean_delta_ci_low_pct,mean_delta_ci_high_pct,mean_p_private_ci_low_pct,mean_p_private_ci_high_pct,mean_p_public_set_ci_low_pct,mean_p_public_set_ci_high_pct
overall_all_private_unrestricted,10202,26.953227966625416,26.758191979494093,9.018516550367629,17.868120230271707,35.984880118507085,45.699126911171945,73.5285237485746,46.57529577258164,,,,,,
overall_common_support_PRIMARY,10122,27.053651965354277,26.796582009744142,9.173155190915276,17.959261072041993,36.039583316616785,45.7180792475964,73.41066376284189,46.35701178804873,26.801082516417818,27.25403167723057,73.07950810148903,73.73062893697096,45.889895281890745,46.8082402922451
