group,n,propensity_min,propensity_max,propensity_mean,n_extreme_lt_0.05_or_gt_0.95,pct_extreme
overall,200794,0.004915954096344134,0.9714202094983273,0.2594060347399044,17501,8.72
private,50495,0.005512667839168961,0.9714202094983273,0.4087196290633643,474,0.94
public,150299,0.004915954096344134,0.9160246999631799,0.20924209522358628,17027,11.33
