group,n_unweighted,ess_survey_weight_only,ess_stabilized_ipw_only,ess_combined_weight
overall,200794,104035.62662474005,137561.7298366538,79457.8171518703
private,50495,26373.59213182246,23613.62793424181,20205.09733385944
public,150299,79112.08767754397,134726.1352493377,60379.849483934544
