covariate,smd_before,smd_after,flag_after_weighting
wealth_index,0.8140691434109542,-0.0016067180071761798,False
education_years,0.6009725360324638,-0.027494000570916843,False
residence_1,0.3867440634055738,0.004046743101018544,False
residence_2,-0.38674406340557366,-0.004046743101018297,False
social_group_2,-0.3689242819133142,-0.0435715652993162,False
state_24,0.2664114499442306,-0.0037697552124355523,False
state_23,-0.2562384567216622,-0.05522137949747295,False
social_group_4,0.2435020784327535,-0.006343645531376582,False
birth_order,-0.23652857328973959,0.020172578008748963,False
social_group_3,0.21691512639762583,0.008249178134466057,False
state_36,0.208316241377211,0.004003650892216728,False
state_1,-0.20240486751803285,0.0010622385058644565,False
state_32,0.20182868724129172,0.0034292451685388873,False
state_12,-0.18435109498234165,-0.014471646043840812,False
state_18,-0.1820552508398733,-0.037885950348579334,False
social_group_1,-0.14820365271116684,0.030463038721184527,False
state_21,-0.14327128651170865,-0.032246637239787074,False
state_3,0.12943518534381435,0.006562699349166451,False
state_8,-0.1277212104280783,0.05388613740882336,False
state_28,0.12564667569369342,0.0008215015370972075,False
religion_3,-0.11742741159021586,-0.005502291315347416,False
state_6,0.11709922991243021,0.005667834341154133,False
state_22,-0.114707621650353,-0.009955603797881208,False
state_27,0.10514145151546814,0.005547396542330686,False
twin_order_0,-0.10266271645995821,0.00417403038509982,False
religion_4,0.0992929262109764,0.004407382407755576,False
state_17,-0.09528550088631442,0.0009346173861460782,False
state_15,-0.09283982691569269,-0.008392115792974287,False
religion_96,-0.08803677390062306,-0.013748694140021233,False
state_37,-0.08033709346811216,-0.01697309093666052,False
religion_5,-0.08005856888328941,-0.0026246311809039013,False
state_16,-0.07442200160258641,-0.001345275917158141,False
social_group_Missing,-0.073213703598116,-0.010556537347430488,False
twin_order_1,0.07146200671647493,-0.0035563765265283053,False
twin_order_2,0.07146200671647493,-0.0031884374539505886,False
state_9,0.06999846011402314,0.03222726722182453,False
state_33,0.06960168492269439,-0.01568527823581199,False
state_29,0.0549597434754709,-0.0005288282312772832,False
religion_6,0.05063843255677314,-0.0007259089799423548,False
state_35,-0.05026813789247817,-0.013617723094544138,False
state_19,-0.046233002448395136,-0.016633769930230632,False
state_13,-0.04535812199095666,-0.0012474258924430387,False
religion_1,0.04523081960016181,0.00029968904176234717,False
state_11,-0.04222785537440215,-0.003986664980912629,False
state_2,-0.04164176865712988,-0.002066089250925363,False
state_7,0.040362465374976356,0.004158100452959688,False
state_34,0.03891805146415158,-0.0011091866726845357,False
state_20,-0.03585511397143959,-0.005975397626728536,False
state_30,0.03442310638820052,-0.0007114557204394207,False
state_10,-0.018119456315849138,0.008172189798469955,False
state_31,0.018077217521442052,0.0003289032639675892,False
religion_2,0.01642540330914946,0.00343786743287158,False
twin_order_3,0.01602994406639347,0.00839115901052789,False
state_4,-0.015918633229881317,-0.008529268293608458,False
religion_9,-0.015554657499257685,-0.011849706371233958,False
state_25,0.015143615546020594,0.0007849499093475752,False
religion_8,-0.006349369737021203,-0.0087552632101637,False
state_14,0.00531869608598497,0.0020689258407356743,False
religion_7,-0.0036478619717166933,-0.00580039103465038,False
state_5,-0.001522130674120042,0.008422657899183898,False
