replicate,risk_difference_pct,risk_ratio
0,28.168987939077894,2.7004558466174635
1,28.135499399833552,2.70491015397065
2,28.766230034278216,2.758569559619061
3,28.98713488921862,2.803823747401013
4,28.70677923474656,2.7234106284339634
5,28.245363506184805,2.6947133655010123
6,28.065317768757975,2.711447790978361
7,28.33424926025942,2.723493481757414
8,28.591811944145263,2.6999893248563485
9,28.770157410373464,2.734374787788874
10,28.004093323643875,2.6847393450309367
11,28.323492232154056,2.713538211843178
12,28.80970622149072,2.7486070311448936
13,28.5130223768657,2.7363363977402457
14,27.92115556044883,2.6707123368154253
15,28.556549559415068,2.7281452801345583
16,27.998764141580214,2.6963206913222773
17,28.41473360018267,2.711563523821224
18,28.152355176120935,2.7251936739251845
19,28.383532628005128,2.721541178410881
20,28.63182365114718,2.723288767579385
21,28.510288438267306,2.74073255345725
22,28.98306118299666,2.784346975567207
23,27.8091967190072,2.6728658705642347
24,28.332603019042242,2.7271938437292964
25,28.1287564998982,2.699524605140017
26,29.160091110527063,2.7798855692073974
27,27.68217262385202,2.661386059532484
28,28.79043447515553,2.7492259601475175
29,28.59222138652192,2.7307106038550915
30,29.094368078859645,2.768826041474945
31,28.540330136684123,2.711287226949608
32,28.14267975007087,2.7105401933660738
33,28.924399982237098,2.7484177114725483
34,27.00297496722179,2.6243545901988643
35,28.127538271878056,2.6952564509458705
36,28.700456597502054,2.7444675102638403
37,28.761373969054667,2.761116924027228
38,29.214654800990154,2.7670836122613545
39,28.98377012284103,2.7887598871508352
40,28.717409934115196,2.70731161477024
41,28.766795320615373,2.765283911844352
42,28.252314704411347,2.691801932136331
43,28.715702854698538,2.7439135593334516
44,28.272552722242573,2.698270419841944
45,28.755093321561276,2.7821859828519977
46,28.609241945416407,2.7575643489942285
47,28.208513978185817,2.703636176541347
48,28.435229041297948,2.7423545238722316
49,28.987447291753814,2.7290726607766427
50,28.205965535131867,2.748014341718658
51,28.993652837526916,2.7601462614077987
52,28.79581460867381,2.7603291445605174
53,29.29015146530784,2.790355727644075
54,28.2948897209468,2.6844711533100662
55,28.609877471229023,2.708723847132551
56,27.64496834057985,2.662139803238324
57,28.649511476784074,2.7184041148654714
58,28.445712414484408,2.749978522108312
59,28.86254906264416,2.749043865693882
60,28.603028562603793,2.7303117158560064
61,28.217971372305183,2.6840645959165164
62,28.868647503570987,2.753403903725613
63,28.229114926946963,2.6577985236907464
64,28.422782706485876,2.7185238077360587
65,27.74454960046174,2.6637607392206535
66,28.862242554742814,2.7555251348873018
67,28.172909668482138,2.7218054384088464
68,29.083492098181864,2.774827022055226
69,28.714928886953718,2.7250853529205217
70,28.11545994749567,2.6926627192521124
71,28.46898587844856,2.726079092329543
72,28.81149630237094,2.7683840668451833
73,28.667590805241577,2.762680172189227
74,28.290761889780423,2.7140210192034093
75,28.316206857853132,2.7209091151172693
76,28.898514393744534,2.735507924865114
77,28.432393444109394,2.7479530602860858
78,29.00272310977273,2.7821815682517994
79,28.58841171136891,2.7319212118881846
80,29.14015285937585,2.779624906075993
81,28.826189121436485,2.782003731240631
82,28.6030826021931,2.7508119307860235
83,27.885571071558847,2.661555254201769
84,28.704649916028714,2.7327480702571516
85,28.537674145146575,2.736439138694923
86,28.724357614636276,2.7265807596529195
87,28.167250333664583,2.700235423505316
88,28.760150270603056,2.765736944452459
89,28.966092964391276,2.7837563310380204
90,28.780669184836206,2.7584412045448286
91,29.07352434145617,2.7596247375310394
92,28.49490060142458,2.694946973956426
93,28.65497205246742,2.7248262848280507
94,28.91739853195134,2.733085133436888
95,28.28199606965942,2.697936248244599
96,27.687368027907734,2.6678461802990556
97,28.61774729923513,2.733843067893238
98,28.66429527126817,2.735789358591705
99,28.666962102705163,2.72042530837415
100,28.731097339285355,2.730825771444694
101,28.170234975664037,2.7260282373442113
102,28.19862839431817,2.7062722806984416
103,28.341863662792697,2.714899193754479
104,29.06413665261798,2.7679010813118112
105,28.657380210195292,2.732705041467273
106,28.05059353149113,2.6952754922214766
107,27.609882135718504,2.6876916479010657
108,28.794190746896064,2.733582652233588
109,27.62966250815871,2.627785285920658
110,28.093011972891286,2.6925704934837205
111,28.21809509056361,2.710162000045043
112,28.50052697780945,2.7426740958179225
113,29.010122136884455,2.7703803544886605
114,28.759465685135044,2.7601813967414985
115,28.493318444382354,2.710540279002637
116,28.295342532212448,2.665567099679717
117,29.107642740516802,2.7524608624540776
118,27.7747428427465,2.6513240434349274
119,28.476010593968237,2.723003416073872
120,28.358140856691023,2.7377872796193503
121,28.660188650604457,2.7423605672149627
122,28.258961030620654,2.705558379325576
123,29.09145089436026,2.776013335753147
124,28.962618512203512,2.7853158006415124
125,28.309884966177535,2.6877454744137013
126,28.852055876838385,2.770861984158359
127,29.290489148273778,2.7704377045563215
128,28.47277385151666,2.750896180809014
129,28.332521449608873,2.694546091442384
130,28.33553123102366,2.7479652056437676
131,28.841419451995918,2.76578072085945
132,29.055197001135912,2.776296176347314
133,28.7042720268217,2.7663799388790853
134,28.731497346988533,2.734807820265539
135,28.572236772367553,2.733533943110151
136,28.296350351476956,2.7267306108827083
137,28.270947897271952,2.705680529000724
138,28.494097871351578,2.7304404172111365
139,28.69793670006181,2.749995590157767
140,29.224961616158517,2.78889342760461
141,28.287518725822956,2.6842784180246797
142,29.48766723479143,2.819994386435525
143,28.220251650738167,2.673713239624732
144,28.012329296326666,2.680653882787574
145,28.238766083479184,2.6868354511751957
146,28.634219807484147,2.7324545661643533
147,28.218393215879487,2.6980758885593525
148,28.297710724755476,2.7319736328321778
149,28.466612418843873,2.737087701585594
150,28.014996350123027,2.6850839837007348
151,28.976654151946757,2.785241560500551
152,28.097410752090834,2.7047562810949146
153,28.63645531327135,2.7291913750806964
154,28.4080608944513,2.7549153593676885
155,28.17112966869203,2.717545020841694
156,28.966843978927205,2.7830324692908492
157,29.129136398508226,2.773609890885931
158,28.262584670051506,2.7136159805718
159,28.56290250403089,2.7177433916451412
160,28.121227818614468,2.6767468772101837
161,28.853899833238017,2.767698219574766
162,28.77062213565884,2.7442911787337136
163,28.7488144966377,2.7699103019585256
164,28.18688205084683,2.6900035475614934
165,29.272432578696062,2.790221896149869
166,28.62768276687574,2.7254834571974906
167,28.26296182163214,2.712959678246214
168,28.362355744424928,2.701644326824582
169,28.306243974561273,2.707981240844738
170,28.80144416056697,2.777246730755084
171,28.94344888116519,2.746770541039261
172,28.531750325619186,2.7212603885145303
173,28.373792628244836,2.7387151684584823
174,28.189697476910595,2.753513274296252
175,28.338717200355756,2.7532886201359754
176,28.911295148233883,2.7655032597936566
177,28.873097982634743,2.7411273809798615
178,28.08232195236433,2.6978695412678064
179,28.999333716798947,2.7514895492649663
180,28.482936099806665,2.734077270070617
181,28.68548000635483,2.7466660635357036
182,28.23757884677387,2.700693912737763
183,27.86801816522687,2.663146944026168
184,28.418244093435362,2.7675123587133075
185,28.39282759115961,2.7496866820980648
186,28.272451189644933,2.718580345666088
187,27.77020614472967,2.6635319130101602
188,28.474894318997663,2.7440962581693022
189,28.390590267483994,2.6977760272248097
190,28.76759150392046,2.746136216155771
191,28.668371187407587,2.7561438632975275
192,28.032277607014834,2.689526110273298
193,29.42089158623483,2.815401238705478
194,28.518069210870888,2.711201527906787
195,28.247849137444693,2.732560560691496
196,29.0598153019339,2.7421171260165598
197,28.99627927638071,2.762517889413458
198,28.04017846687774,2.679105022976413
199,28.40193619467052,2.7199474648707302
200,28.74035164587303,2.748271007800615
201,28.355036214215986,2.7399362730002603
202,28.7744773630928,2.73370585568747
203,28.74267408741546,2.753752267648035
204,28.353727369827897,2.7274032228674328
